date, rank, team_id, team_name, points, points_prev, rank_prev
'2014-07-17 00:00:00',1,'GER','Germany',1723.84,1300,1
'2014-07-17 00:00:00',2,'ARG','Argentina',1605.53,1175,3
'2014-07-17 00:00:00',3,'NED','Netherlands',1496.41,981,12
'2014-07-17 00:00:00',4,'COL','Colombia',1491.78,1137,4
'2014-07-17 00:00:00',5,'BEL','Belgium',1401.25,1074,6
'2014-07-17 00:00:00',6,'URU','Uruguay',1329.57,1147,1
'2014-07-17 00:00:00',7,'BRA','Brazil',1240.51,1242,-4
'2014-07-17 00:00:00',8,'ESP','Spain',1228.62,1485,-7
'2014-07-17 00:00:00',9,'SUI','Switzerland',1215.93,1149,-3
'2014-07-17 00:00:00',10,'FRA','France',1202.13,913,7
'2014-07-17 00:00:00',11,'POR','Portugal',1147.74,1189,-7
'2014-07-17 00:00:00',12,'CHI','Chile',1097.7,1026,2
'2014-07-17 00:00:00',13,'GRE','Greece',1090.68,1064,-1
'2014-07-17 00:00:00',14,'ITA','Italy',1056.16,1104,-5
'2014-07-17 00:00:00',15,'USA','USA',988.66,1035,-2
'2014-07-17 00:00:00',16,'CRC','Costa Rica',985.73,762,12
'2014-07-17 00:00:00',17,'CRO','Croatia',954.61,903,1
'2014-07-17 00:00:00',18,'MEX','Mexico',930.28,882,2
'2014-07-17 00:00:00',19,'BIH','Bosnia and Herzegovina',917.38,873,2
'2014-07-17 00:00:00',20,'ENG','England',911.32,1090,-10
'2014-07-17 00:00:00',21,'ECU','Ecuador',901.34,791,5
'2014-07-17 00:00:00',22,'UKR','Ukraine',897.59,915,-6
'2014-07-17 00:00:00',23,'RUS','Russia',896.53,893,-4
'2014-07-17 00:00:00',24,'ALG','Algeria',872.39,858,-2
'2014-07-17 00:00:00',25,'CIV','Côte d'Ivoire',850.45,809,-2
'2014-07-17 00:00:00',26,'DEN','Denmark',806.72,809,-3
'2014-07-17 00:00:00',27,'SCO','Scotland',734.32,786,0
'2014-07-17 00:00:00',28,'ROU','Romania',733,761,1
'2014-07-17 00:00:00',29,'SWE','Sweden',723.85,741,3
'2014-07-17 00:00:00',30,'VEN','Venezuela',719.64,672,10
'2014-07-17 00:00:00',31,'SRB','Serbia',716.96,745,-1
'2014-07-17 00:00:00',32,'TUR','Turkey',714.44,722,3
'2014-07-17 00:00:00',33,'PAN','Panama',683.95,743,-2
'2014-07-17 00:00:00',34,'NGA','Nigeria',664.04,640,10
'2014-07-17 00:00:00',35,'CZE','Czech Republic',646.46,724,-1
'2014-07-17 00:00:00',36,'EGY','Egypt',645.27,715,0
'2014-07-17 00:00:00',37,'SVN','Slovenia',644.41,800,-12
'2014-07-17 00:00:00',38,'HUN','Hungary',642.43,624,9
'2014-07-17 00:00:00',38,'GHA','Ghana',642.31,704,-1
'2014-07-17 00:00:00',40,'HON','Honduras',636.75,731,-7
'2014-07-17 00:00:00',41,'ARM','Armenia',635.28,682,-3
'2014-07-17 00:00:00',42,'TUN','Tunisia',620.8,612,6
'2014-07-17 00:00:00',43,'AUT','Austria',614.02,643,-1
'2014-07-17 00:00:00',44,'WAL','Wales',605.52,644,-3
'2014-07-17 00:00:00',45,'JPN','Japan',604.17,626,1
'2014-07-17 00:00:00',46,'SVK','Slovakia',588.35,591,3
'2014-07-17 00:00:00',47,'ISL','Iceland',569.97,566,5
'2014-07-17 00:00:00',48,'PAR','Paraguay',565.51,575,2
'2014-07-17 00:00:00',49,'IRN','IR Iran',562.97,641,-6
'2014-07-17 00:00:00',50,'MNE','Montenegro',558.56,574,1
'2014-07-17 00:00:00',51,'GUI','Guinea',554.81,566,1
'2014-07-17 00:00:00',52,'UZB','Uzbekistan',522.65,539,7
'2014-07-17 00:00:00',53,'NOR','Norway',520.11,562,2
'2014-07-17 00:00:00',53,'CMR','Cameroon',519.78,558,3
'2014-07-17 00:00:00',55,'FIN','Finland',507.97,532,6
'2014-07-17 00:00:00',56,'KOR','Korea Republic',500.64,547,1
'2014-07-17 00:00:00',57,'JOR','Jordan',499.96,510,6
